the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000A0C36E52C000000080A5604440,32560,0101000020110F0000B86D7BB74B4F5FC1E87C5AA3A5FB5241,40.7550506591797,-73.7306900024414,Queens,NB,New Building,421575094,4597019,NB,5772,false,220,4/10/2018,10/1/2018 12:00,245-62,63  AVE,411,WING JAY CONSTRUCTION INC,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000804E7552C000000040C5604440,1924000,0101000020110F00002C9213A9685A5FC108CC593CC9FB5241,40.7560195922852,-73.8329162597656,Queens,NB,New Building,421036177,4114199,NB,5834,false,13000,7/19/2018,6/25/2019 12:00,132-21,41 ROAD,407,METROCITY CONSTRUCTION,ASSEMBLY: OTHER,7,2
0101000020E6100000000000A05A8F52C000000040DD3F4440,221852,0101000020110F0000EC1D4B24A7865FC103465A7BF6D65241,40.4989395141602,-74.2399063110352,Staten Island,NB,New Building,520317988,5087858,NB,1,false,1499,3/8/2018,3/8/2019 12:00,686,YETMAN AVENUE,503,TROY CONSTRUCTION OF NY I,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000E05B8F52C000000080E43F4440,652236,0101000020110F0000FA7AD843A9865FC1FBF64B94FED65241,40.4991607666016,-74.2399826049805,Staten Island,NB,New Building,520300781,5087855,NB,2,false,4407,1/16/2018,9/2/2018 12:00,678,YETMAN  AVENUE,503,L & M HOMES LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000A04C8F52C000000020E63F4440,211196,0101000020110F0000EB3E825C8F865FC1DE4EEC6400D75241,40.499210357666,-74.2390518188477,Staten Island,A1,ALT 1 Enlargement,520237002,5170220,A1,3,true,82,1/31/2018,1/30/2019 12:00,722,ROCKAWAY STREET,503,"WAHLER PLACE,LLC",BUSINESS,2,1
0101000020E610000000000020728F52C000000080E63F4440,18648,0101000020110F00008926130FCF865FC1E00325D000D75241,40.4992218017578,-74.241340637207,Staten Island,NB,New Building,520135602,5169688,NB,4,false,126,2/16/2018,2/12/2019 12:00,437,BRIGHTON STREET,503,SPHINX CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,1,1
0101000020E6100000000000204E8F52C0000000A0F03F4440,548932,0101000020110F0000627BC5E891865FC16DE0211F0CD75241,40.4995307922363,-74.239143371582,Staten Island,NB,New Building,520219629,5165136,NB,5,false,3709,8/9/2018,3/5/2019 12:00,712,ROCKAWAY STREET,503,EG ENTERPRISES NY INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E610000000000060468F52C000000060FC3F4440,43254,0101000020110F0000A76DBFBE84865FC1ECB2C33E19D75241,40.4998893737793,-74.2386703491211,Staten Island,A1,ALT 1 Enlargement,520221670,5087660,A1,6,true,267,8/9/2018,8/5/2019 12:00,703,ROCKAWAY STREET,503,FINIX U.S.A. CONSTRUCTION,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E6100000000000606D8F52C00000008045404440,461020,0101000020110F0000BB9193FDC6865FC11D5584EB6AD75241,40.5021209716797,-74.2410507202148,Staten Island,NB,New Building,520298516,5169689,NB,7,false,3115,3/6/2018,2/20/2019 12:00,522,CLERMONT AVE,503,JRJ DEVELOPMENT LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E610000000000080C08E52C0000000005E404440,1305656,0101000020110F00002E994E58A1855FC1D083FF4886D75241,40.5028686523438,-74.2304992675781,Staten Island,NB,New Building,500401825,5848912,NB,8,false,8822,6/26/2018,6/26/2019 12:00,43,OTTAVIO PROMENADE,503,NELLO DEVELOPMENT CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E610000000000060B68E52C0000000005F404440,663040,0101000020110F00000CC1882590855FC1C711F06687D75241,40.5028991699219,-74.2298812866211,Staten Island,NB,New Building,500401807,5841213,NB,9,false,4480,5/15/2018,5/15/2019 12:00,64,OTTAVIO PROMENADE,503,SAVOY DEVELOPMENT INC,RESIDENTIAL 1-2 FAMILY HOUSES,2,2
0101000020E610000000000020B18E52C00000004062404440,926332,0101000020110F00006B6D9D3A87855FC1011A3E088BD75241,40.5029983520508,-74.2295608520508,Staten Island,NB,New Building,500401816,5848916,NB,10,false,6259,5/15/2018,5/15/2019 12:00,74,OTTAVIO PROMENADE,503,SAVOY DEVELOPMENT INC,RESIDENTIAL 1-2 FAMILY HOUSES,2,2
0101000020E610000000000020C48E52C0000000C06B404440,573056,0101000020110F0000A3C09B80A7855FC1010FAEA495D75241,40.503288269043,-74.2307205200195,Staten Island,NB,New Building,500397554,5848926,NB,11,false,3872,5/31/2018,5/19/2019 12:00,55,LEONELLO LANE,503,PINA DEVELOPEMENT LLC,RESIDENTIAL 1-2 FAMILY HOUSES,2,1
0101000020E610000000000000AF8E52C0000000C070404440,920412,0101000020110F00006E82939E83855FC12A74633A9BD75241,40.5034408569336,-74.2294311523438,Staten Island,NB,New Building,510033465,5863186,NB,12,false,6219,5/31/2018,5/19/2019 12:00,81,OTTAVIO PROMENADE,503,PINA DEVELOPEMENT LLC,RESIDENTIAL 1-2 FAMILY HOUSES,2,1
0101000020E610000000000000CE8E52C00000000072404440,926332,0101000020110F00005DB9AB46B8855FC1C5EED09F9CD75241,40.5034790039062,-74.2313232421875,Staten Island,NB,New Building,500398367,5170443,NB,13,false,6259,5/31/2018,5/19/2019 12:00,24,OTTAVIO PROMENADE,503,PINA DEVELOPEMENT LLC,RESIDENTIAL 1-2 FAMILY HOUSES,2,2
0101000020E6100000000000A0C08E52C0000000A074404440,1045028,0101000020110F0000E388A98EA1855FC12C356A8E9FD75241,40.5035591125488,-74.2305068969727,Staten Island,NB,New Building,520313839,5168934,NB,14,false,7061,6/22/2018,1/26/2019 12:00,59,BELWOOD LOOP,503,MADONIA DEVELOPMENT CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000000A68E52C00000000075404440,706700,0101000020110F0000A517005574855FC1C0B1A4F99FD75241,40.5035705566406,-74.2288818359375,Staten Island,NB,New Building,510033483,5863184,NB,15,false,4775,5/15/2018,5/15/2019 12:00,99,OTTAVIO PROMENADE,503,SAVOY DEVELOPMENT INC,RESIDENTIAL 1-2 FAMILY HOUSES,2,1
0101000020E6100000000000E0209052C00000000076404440,150000,0101000020110F0000AA2AACE3F7875FC1CB039617A1D75241,40.5036010742188,-74.2520065307617,Staten Island,A1,ALT 1 Enlargement,520202619,5088447,A1,16,true,1485,5/17/2018,4/17/2019 12:00,161,SATTERLEE STREET,503,WT BUILDERS LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000040BC8E52C0000000A076404440,810744,0101000020110F000032C33A209A855FC167DB4CCAA1D75241,40.5036201477051,-74.2302398681641,Staten Island,NB,New Building,520270741,5168933,NB,17,false,5478,3/6/2018,3/1/2019 12:00,55,BELWOOD LOOP,503,BRIDLE ESTATES INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000060B48E52C0000000E079404440,1148628,0101000020110F0000C3C5D9BF8C855FC13F729D6BA5D75241,40.503719329834,-74.2297592163086,Staten Island,NB,New Building,520277012,5168931,NB,18,false,7761,3/6/2018,3/1/2019 12:00,47,BELWOOD LOOP,503,BRIDLE ESTATES INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000000B88E52C0000000E07D404440,85248,0101000020110F000038ED26E892855FC1D69363E3A9D75241,40.5038414001465,-74.22998046875,Staten Island,NB,New Building,520317657,5170281,NB,19,false,576,3/6/2018,3/6/2019 12:00,55GAR,BELWOOD LOOP,503,BRIDLE ESTATES INC,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000E0D48E52C0000000E08E404440,1593960,0101000020110F0000293935F4C3855FC1859473E0BCD75241,40.5043601989746,-74.2317428588867,Staten Island,NB,New Building,520135862,5168936,NB,20,false,10770,5/18/2018,3/1/2019 12:00,17,BELVEDERE COURT,503,BRIDLE ESTATES INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000E0D48E52C0000000E08E404440,772116,0101000020110F0000293935F4C3855FC1859473E0BCD75241,40.5043601989746,-74.2317428588867,Staten Island,NB,New Building,520308284,5168936,NB,21,false,5217,3/6/2018,3/1/2019 12:00,17,BELVEDERE COURT,503,BRIDLE ESTATES INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000060D98E52C00000000097404440,734820,0101000020110F00008EEEFE98CB855FC16946C4F3C5D75241,40.5046081542969,-74.2320175170898,Staten Island,NB,New Building,520317611,5151849,NB,22,false,4965,3/6/2018,3/1/2019 12:00,16,BELVEDERE COURT,503,BRIDLE ESTATES INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000C0C18F52C000000000D2404440,90250,0101000020110F0000DE9A594F56875FC185FBDDDA07D85241,40.5064086914062,-74.2462005615234,Staten Island,A1,ALT 1 Enlargement,520319432,5088194,A1,23,true,141,7/25/2018,7/22/2019 12:00,154,PITTSVILLE AVENUE,503,TROOST BROS INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000060069052C000000080EE404440,520072,0101000020110F00001FA95DE0CA875FC1F2F2A0B027D85241,40.5072784423828,-74.2503890991211,Staten Island,NB,New Building,520298927,5169007,NB,24,false,3514,8/16/2018,5/13/2019 12:00,37,SUMMIT ROAD,503,"OAK DEVELOPERS,LLC",RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E610000000000000FE8E52C000000020F1404440,42328,0101000020110F00003B4813CF09865FC1FB1B459F2AD85241,40.5073585510254,-74.2342529296875,Staten Island,NB,New Building,520326978,5093023,NB,25,false,286,7/11/2018,12/20/2018 12:00,31,GIEGERICH PLACE,503,NOCE CONSTRUCTION CORP,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000A00A9052C000000020F3404440,508084,0101000020110F00001A7F7118D2875FC15D0D30DB2CD85241,40.5074195861816,-74.2506484985352,Staten Island,NB,New Building,520298918,5088389,NB,26,false,3433,8/16/2018,5/13/2019 12:00,43,SUMMIT ROAD,503,"OAK DEVELOPERS,LLC",RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E6100000000000C0A58F52C000000020F5404440,533688,0101000020110F0000DBDCC7BF26875FC1D6201B172FD85241,40.5074806213379,-74.2444915771484,Staten Island,NB,New Building,520288787,5170166,NB,27,false,3606,5/2/2018,12/18/2018 12:00,116,BRIGHTON STREET,503,BELL BUILDING CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E6100000000000A0AA8F52C0000000C0F5404440,533688,0101000020110F00005E61A2072F875FC1EC9DD4C92FD85241,40.5074996948242,-74.2447891235352,Staten Island,NB,New Building,520288778,5088133,NB,28,false,3606,5/2/2018,12/18/2018 12:00,122,BRIGHTON STREET,503,BELL BUILDING CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
0101000020E6100000000000E0E38E52C0000000A0FC404440,277352,0101000020110F0000CE95D56EDD855FC1B5D9CD7737D85241,40.5077095031738,-74.2326583862305,Staten Island,NB,New Building,520137913,5155591,NB,29,false,1874,9/22/2017,9/22/2018 12:00,245,BEDELL AVENUE,503,XBR INC,UTILITY / MISCELLANEOUS,1,
